X,Y,Complain_Number,Time,Day,Main_Street,Second_Street,Quadrant,On_Street,Latitude,Longitude,Type,Injured,Vehicles,Bikes,Fatalities,GeocodeError,FID
-77.00351948,38.88761401,12049420,2012-04-12T01:31:00.000Z,Wed,PENNSYLVANIA AVE,INDEPENDENCE AVE,SE,Within 100ft,38.887614,-77.003519,Side Swiped,1,2,1,0,,123
-77.00713447,38.91746684,12049600,2012-04-12T13:56:00.000Z,Thu,RHODE ISLAND AVE,LINCOLN RD,NE,Within 100ft,38.917467,-77.007134,Side Swiped,1,1,1,0,,124
-77.03850956,38.90252354,12050138,2012-04-13T15:20:00.000Z,Fri,K ST,SEVENTEENTH ST,NW,Not at Inter,38.902524,-77.03851,Side Swiped,0,2,1,0,,125
-77.0607342,38.93938975,12050337,2012-04-13T22:55:00.000Z,Fri,CONNECTICUT AVE,SEDGWICK ST,NW,At Intersect,38.93939,-77.060734,Right Angle,1,2,1,0,,126
-77.03455674,38.90964928,12050385,2012-04-14T00:25:00.000Z,Fri,P ST,FIFTEENTH ST,NW,Not at Inter,38.909649,-77.034557,Left Turn Hit Ped.,0,1,1,0,,127
-77.0319553,38.89831692,12051240,2012-04-15T17:40:00.000Z,Sun,FOURTEENTH ST,G ST,NW,Within 100ft,38.898317,-77.031955,Right Angle,1,1,1,0,,128
-77.03195506,38.89549897,12052093,2012-04-17T16:21:00.000Z,Tue,FOURTEENTH ST,PENNSYLVANIA AVE,NW,At Intersect,38.895499,-77.031955,19,1,0,1,0,,129
-77.04086893,38.9201966,12052186,2012-04-16T01:30:00.000Z,Sun,CHAMPLAIN ST,KALORAMA RD,NW,Not at Inter,38.920197,-77.040869,19,1,1,1,0,,130
-77.02396682,38.9116154,12052250,2012-04-17T22:08:00.000Z,Tue,NINTH ST,RHODE ISLAND AVE,NW,At Intersect,38.911615,-77.023967,19,1,2,1,0,,131
-77.0259392,38.92685409,12052349,2012-04-18T01:53:00.000Z,Tue,HARVARD ST,SHERMAN AVE,NW,At Intersect,38.926854,-77.025939,19,1,2,1,0,,132
-77.05626079,38.93169575,12052372,2012-04-18T01:53:00.000Z,Tue,CONNECTICUT AVE,DEVONSHIRE PL,NW,At Intersect,38.931696,-77.056261,Left Turn Hit Veh.,0,2,1,0,,133
-77.04882375,38.90069209,12053430,2012-04-20T03:50:00.000Z,Thu,TWENTY SECOND ST,I ST,NW,At Intersect,38.900692,-77.048824,Other,0,2,1,0,,134
-77.02818658,38.89046101,12053801,2012-04-20T22:25:00.000Z,Fri,MADISON DR,TWELFTH ST,NW,Within 100ft,38.890461,-77.028187,19,1,3,1,0,,135
-77.02205749,38.92096281,12054141,2012-04-21T11:09:00.000Z,Sat,GEORGIA AVE,BARRY PL,NW,Not at Inter,38.920963,-77.022057,Left Turn Hit Ped.,1,1,1,0,,136
-77.03197245,38.88860766,12054310,2012-04-21T18:39:00.000Z,Sat,FOURTEENTH ST,JEFFERSON DR,SW,At Intersect,38.888608,-77.031972,19,1,2,1,0,,137
